"","ID","Verb","PredType","Embedding","Context","Target","target.LMEDS","Turk.MatrixOrComplement","CollapsedProminence","Mean","sd","variance"
"31",44,"say","Non-Factive","modal negation","B: the best of every type of music. A: Right. B: Because, I mean, there are some, I mean, I li-, there are some, you know, types of heavy metal that I really like,","but I wouldn't, I wouldn't say that I completely like heavy metal.","I wouldn't, I wouldn't say that I completely like heavy metal.","broad","BROAD",-1.77777777777778,1.48136573621926,2.19444444444444
"32",45,"say","Non-Factive","modal negation","A:Well, uh, it seems to me uh, that I do not know whether the jury system, uh,","I shouldn't say I do not know.","I shouldn't say I do not know.","compl","COMPLEMENT",0.375,2.0658792662828,4.26785714285714
"33",46,"say","Non-Factive","modal negation","A: It's depressing. B: Uh-huh, it is, and you know, you don't spi-, well. Speaking for myself I don't sleep as well, when I am not exercising, and uh, it's harder to get out of bed in the morning and all kinds of stuff, your body just gets used to it. Yeah, I don't particularly enjoy it. Well I used to lift weights an awful lot, and stuff like that. I do enjoy riding bike,","but as far as the working out and lifting and things like that. Uh, I can't say I really enjoyed it all that much.","I can't say I really enjoyed it all that much.","complAll","COMPLEMENT",-2.8,0.421637021355784,0.177777777777778
"34",47,"say","Non-Factive","modal negation","A: uh I picked up a bunch of Craftsman tools from the forties that my wife's father owned when he was alive B: Uh-huh. A: and so I do have a band saw and a router and, uh, things like that out in the garage.","But I can't say I use them very often.","I can't say I use them very often.","matrix","MATRIX",-2.72727272727273,0.467099366496914,0.218181818181818
"35",48,"feel","Non-Factive","modal negation","A: Right, they don't want anyone with particular experience or knowledge of the legal system. B: Exactly.  Uh-huh, exactly. Uh, A: And they tend, and since anyone can get out of it who basically says they don't want to do it, I mean, you know, it's anyone can get out of jury just about, uh, so, uh, it's not really my peers that, let's say I were arrested falsely or not and put up for a jury","I wouldn't feel that, uh, I would be being tried by a jury of my peers.","I wouldn't feel that, uh, I would be being tried by a jury of my peers.","broad","BROAD",-2.33333333333333,0.5,0.25
"36",50,"believe","Non-Factive","modal negation","B: Yeah, it is. A: For instance, B: I'm a historian, and my father had kept them, I think, since nineteen twenty-seven uh, but he burned the ones from twenty-seven to fi-, A: My goodness. B:","I couldn't believe he did that.","I couldn't believe he did that.","matrix","MATRIX",3,0,0
"37",51,"say","Non-Factive","modal negation","B: And they may have some different idea, I mean, it might be more important for them to put a sentencing down that was, uh, longer, you know, that the punishment didn't fit the crime. Or not long enough or, you know, whatever the case may be. A: Uh-huh.  Yeah. B: I think the judges do have that better knowledge of it. The only thing I worry about sometimes is if you get somebody in there that has a name, that is the defendant and, you know, sometimes, might have more pull, which does happen. A: Uh-huh. B:","I mean, we can't say it doesn't, because it does happen.","I mean, we can't say it doesn't, because it does happen.","compl","COMPLEMENT",-1.2,2.34757558155453,5.51111111111111
"38",52,"think","Non-Factive","negation","A: I mean, it looked darker to him, because he was in the house with the lights on. B: Right. A: When I was out walking, it, was more of a predawn type, pretty, but, huh-huh,","he didn't think it looked predawn to him.","he didn't think it looked predawn to him.","compl","COMPLEMENT",-2.16666666666667,1.46680440124618,2.15151515151515
"39",53,"say","Non-Factive","modal negation","A: That's the other thing. I mean a lot of people as kids or, you know, young people get into some things that they get out of later on and I don't think they should really have to pay for that forever. B: Yeah. There's a lot of things you do as a kid that you wouldn't do as an adult A: Yeah. B:","but you can't say it was wrong at the time.","but you can't say it was wrong at the time.","compl","COMPLEMENT",-0.666666666666667,1.11803398874989,1.25
"40",54,"say","Non-Factive","modal negation","B: not going to help. It's never helped my personal situation.","I can't say it would help with theirs either.","I can't say it would help with theirs either.","broad","BROAD",-1.5,1.35400640077266,1.83333333333333
"41",56,"see","Factive","modal negation","B: so there's only been really one working. A: Uh-huh, same here. Uh-huh. B: And, uh, it works for me","but I can't see that it would work for probably the majority of people.","but I can't see that it would work for probably the majority of people.","complAll","COMPLEMENT",-1.7,1.05934990547138,1.12222222222222
"42",57,"say","Non-Factive","modal negation","A: they can be selective, right. B: And they, that's right, they have the ability to be selective.","But you can't say then, well, public schools are not as good.","But you can't say then, well, public schools are not as good.","compl","COMPLEMENT",-1.81818181818182,1.32801971507819,1.76363636363636
"43",59,"say","Non-Factive","modal negation","A: And that didn't help at all? B: No, I don't, the crime is not any better or any worse, I mean it's, A: Huh. B:","I shouldn't say I don't know if it was any worse.","I shouldn't say I don't know if it was any worse.","broad","BROAD",0.111111111111111,1.16666666666667,1.36111111111111
"44",60,"say","Non-Factive","modal negation","B: Well, that's kind of the way I feel about rock and roll sometimes, too, I guess. They don't really, has kind of the same sound over and over, and the other thing I don't like about it is they have a tendency to play the instrumental so loud that you can't understand what the lyrics are A: Um. Right. B: you can't understand what they're saying on some of those songs which probably is just as well on some of them, too. A: Yeah.","And I can't say that I like a lot of the modern, the very, very modern, uh, rock and roll.","And I can't say that I like a lot of the modern, the very, very modern, uh, rock and roll.","compl","COMPLEMENT",-2.625,0.517549169506766,0.267857142857143
"45",61,"say","Non-Factive","modal negation","A: so I watch the fish, you know. Whatever I can do to keep myself occupied. I like to have the T V on, because that usually keeps me, um, more occupied. It kind of takes the time away and I don't realize, that's really the only time I ever watch T V, is when I'm on the bike. and then usually after I'm done riding the bike, just to cool myself down, I usually take a walk, you know, and that just kind of uh, gets me, you know, to where I'm not quite as tired I guess. But it's definitely a task. B: You think so? A:","I can't say that I really enjoy it.","I can't say that I really enjoy it.","compl","COMPLEMENT",-2.5,0.797724035217466,0.636363636363636
"46",62,"believe","Non-Factive","modal negation","A: Yeah. Wouldn't that be awful if you were using, and oh, lose your job and everything. B: Which I thought was interesting.  Oh, man, yeah.  Ooh, yeah. A:","I can't believe I was so brazen before.","I can't believe I was so brazen before.","compl","COMPLEMENT",2.125,1.7268882005338,2.98214285714286
"47",64,"believe","Non-Factive","modal negation","B: That's right, and then they, uh, poof it off, you know, do like Tarpley. A: Yeah. B: But, uh, I","what gets me is I can't believe that congress uh, or, our state legislature can't come up with, uh, some kind of workable means to have funds for the school.","I can't believe that congress uh, or, our state legislature can't come up with, uh, some kind of workable means to have funds for the school.","compl","COMPLEMENT",1.22222222222222,1.92209376577847,3.69444444444444
"48",65,"believe","Non-Factive","modal negation","A: Yes, yes it is. Down in the more southern and western areas. And, of course we are, um, about two hours from the northern border, straight south, B: Yeah. A: and, uh, very windy.","It's amazing to me because I've only lived in Dallas for three years, and I can not believe that the wind blows all the time.","I can not believe that the wind blows all the time","broad","BROAD",2.875,0.353553390593274,0.125
"49",66,"say","Non-Factive","modal negation","B: But, uh, A: Yeah, well, you know, the call for help is what scares me now because it just, I don't know, people just don't, I don't know,","I can't say they don't care, because people just have to care about another person.","I can't say they don't care","compl","COMPLEMENT",-1.77777777777778,1.48136573621926,2.19444444444444
"50",68,"believe","Non-Factive","modal negation","A: But, no it would seem like it would be the same way on the California coastline, wouldn't it? B: Oh, gosh, I think I would hate to live in California, the smog there. A: Uh-huh. B:","I mean, I can't believe they have warnings here, which it's mainly just when it gets real, real hot.","I can't believe they have warnings here.","compl","COMPLEMENT",2.61538461538462,0.650443635587991,0.423076923076923
"51",70,"believe","Non-Factive","modal negation","B: Yeah. Those are pretty. A: Number one turned out just great,","and the lady said she couldn't believe that they know that I had done it in the colors that they had decorated the nursery.","she couldn't believe that they know that I had done it in the colors that they had decorated the nursery.","compl","COMPLEMENT",1.3,2.16281709300111,4.67777777777778
"52",71,"say","Non-Factive","modal negation","B: Uh-huh, exactly, not what color you are, how old you are, what you're male or female. That would be wonderful, I guess it's kind of an ideal world though, huh. A: Yeah, I kind of think, maybe in time, that, you know, you'll go by social security numbers, you know, B: Yeah. A:","and that way they can't say well they picked a male over a female, female over a male, you know.","and that way they can't say well they picked a male over a female, female over a male, you know.","broad","BROAD",0.833333333333333,1.6966991126266,2.87878787878788
"53",72,"believe","Non-Factive","modal negation","B: So it's A: Yeah. B: definitely but, uh, I don't know.","I couldn't believe they suggested that judges should be doing the sentencing.","I couldn't believe they suggested that judges should be doing the sentencing.","broad","BROAD",2.11111111111111,1.45296631451356,2.11111111111111
"54",73,"imagine","Non-Factive","modal negation","A: So you know, and I think it would be very difficult to uh, find a panel that would not have seen it and known of what was going on. B: Oh, I agree with you","but I can't imagine that they would do an all white jury without having some sort of discrimination or, you know, uh, appeal on not having a jury of his peers and all of that kind of stuff.","but I can't imagine that they would do an all white jury without having some sort of discrimination or, you know, uh, appeal on not having a jury of his peers and all of that kind of stuff.","broad","BROAD",-1.25,1.48804761828569,2.21428571428571
"55",74,"know","Factive","negation","B: But I know some people can get, you know, carried away with them and let them get out of hand. A: Uh-huh.  It's really easy, just to forget, you know, that you charged that or charged that. I try to keep all my receipts and keep them in someplace where I know that the bill's going to come, but sometimes I forget and so, you know, a bill will come in","and I'll think, oh, no I didn't know it was going to be that high.","I didn't know it was going to be that high","compl","COMPLEMENT",-0.333333333333333,2.23606797749979,5
"56",75,"think","Non-Factive","negation","A: That is the reason, I don't play over there. B: Yeah. A: I like the course, but I don't play over there because, they don't, uh, you know don't allow you to pull a cart. B: Right. A:","And, I don't think a cart damages the turf.","And, I don't think a cart damages the turf.","broad","BROAD",-2,1.3228756555323,1.75
"57",77,"think","Non-Factive","negation","A: Okay. Uh, one of the things they talked about was, uh, what do we think about a judge making the decision? B: Uh-huh. A: And I really don't agree with that. I think that the trial by jury is better, uh, you know, having a unanimous decision rather than to have one person be responsible.","I don't think that they could be objective in every case, every time.","I don't think that they could be objective in every case, every time.","complAll","COMPLEMENT",-1.66666666666667,2.39791576165636,5.75
"58",78,"think","Non-Factive","negation","B: I do not know. I wonder where he gets it? You know, you must, I think T V is bad. Because they, uh, show all sorts of violence on, A: That and I do not think a lot of parents, I mean, I do not know how it is in the Air Force base. But, uh, I just do not think a lot of people, because of the economy, both need to work, you know.","I just do not think a lot of parents are that involved any more.","I just do not think a lot of parents are that involved any more.","compl","COMPLEMENT",-1.22222222222222,1.92209376577847,3.69444444444444
"59",79,"think","Non-Factive","negation","A: Highland Park's thinking about going that route. B: Uh-huh. A: So it, and then I think that's going to push teachers to dress a lot more professionally than they do. B: Yeah,","I don't think a lot of teachers are very professional.","I don't think a lot of teachers are very professional.","broad","BROAD",-2.63636363636364,0.504524979109513,0.254545454545455
"60",80,"think","Non-Factive","negation","A: Now the part about where you said the apartment complex puts up signs that says no soliciting, I've even gone so far as to put that, I've got a storm door on the front of the house and I've put, in, I don't know how much clearer it can be, it's a red sign with silver letters saying no soliciting. I guess I should make another one that says religious or otherwise, cause I still get, B: Yeah, yeah, that's true, yeah. No I didn't go that far but, uh, yeah I probably could do the same thing, uh, you know, I don't have a storm door, but I'm sure I could rig up something.","But you know I don't think that that would stop people.","I don't think that that would stop people","complAll","COMPLEMENT",-2,1.82574185835055,3.33333333333333
"61",81,"know","Factive","negation","A: Do you think the jury should have a dollar figure for losing an arm, a dollar figure for losing different body parts? B: I don't know. You know some of the health insurance is written that way. You know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much","but I don't know that you can necessarily put a value on somebody's limb, uh, arbitrarily that is always gonna fit in all cases.","but I don't know that you can necessarily put a value on somebody's limb, uh, arbitrarily that is always gonna fit in all cases.","complAll","COMPLEMENT",-2,1,1
"62",82,"say","Non-Factive","negation","B: No, I always vote. A: Well, I have absentee voted in, uh, New Hampshire, and it is a fairly complicated process where you have to go pick up the ballot. B: Oh, really. A:","I don't say it's that complicated.","I don't say it's that complicated.","complAll","COMPLEMENT",-0.444444444444444,1.42400062421959,2.02777777777778
"63",83,"think","Non-Factive","negation","A: That's true. B: And they're going to be really struggling","and I don't think that America is currently the type of environment where struggling up from the bottom is necessarily considered to be good.","and I don't think that America is currently the type of environment where struggling up from the bottom is necessarily considered to be good.","complAll","COMPLEMENT",-1.5,1.8516401995451,3.42857142857143
"64",84,"think","Non-Factive","negation","B: But I like dogs and my husband likes cats. So we haven't reached a real agreement on that yet. If we get a place where we can have both, it'll be great, but until then, A: Yeah, I like both,","but since I'm in an apartment, I just, I don't think an apartment is big enough for a dog.","I don't think an apartment is big enough for a dog","complAll","COMPLEMENT",-2,1.34164078649987,1.8
"65",85,"think","Non-Factive","negation","A: I mean, I guess, uh, out of all the movies, I've never been as excited to go back. I was ready to go back and see it again, you know B: Really. Yeah, yeah, you're right about that, but that's really like an all time classic.","I mean, I don't think anybody, anything could ever beat that.","I don't think anybody, anything could ever beat that","complAll","COMPLEMENT",-1.875,0.991031208965115,0.982142857142857
"66",86,"think","Non-Factive","negation","A: Okay. Well, let's see, well, we keep our paper bags lined up in the garage for glass and, uh, plastics and, uh, we make the dump over to the Wal-Mart bins there as soon as they're full. I guess we collect milk cartons and whatever other plastics are acceptable. B: Are you in the part of town where, uh, they have gotten into the other containers yet for recycling? A: No, no,","I didn't think that anybody had those at all yet.","I didn't think that anybody had those at all yet.","complAll","COMPLEMENT",-0.777777777777778,1.85592145427667,3.44444444444444
"67",87,"believe","Non-Factive","negation","B: he refuted it, it just was not effective enough to... A: Well, he didn't refute it til the last two weeks of the campaign. He didn't believe anybody would believe that. And indeed his trend started upward. B:","Well, that's, see, I didn't believe anybody would believe that either.","I didn't believe anybody would believe that either","matrix","MATRIX",-1.6,1.7763883459299,3.15555555555556
"68",88,"know","Factive","negation","B: So, she tried to enter her number and it wouldn't work so she said, whew, it's for you. But, uh, you know, I don't know, I struggle with it,","but I really think that in terms like this, I think that it might not be such a bad thing. Because, I don't know that anybody, I don't know that anybody would feel good, you know, like if you let someone like that loose in your community.","I don't know that anybody would feel good, you know, like if you let someone like that loose in your community.","complAll","COMPLEMENT",-1.54545454545455,1.29333958136573,1.67272727272727
"69",89,"think","Non-Factive","negation","A: Yeah, I think that's what aggravates a lot of people, is somebody does get a life sentence in place of the death penalty, and they wind up back on the streets after five years or six years or like the kid on the news tonight out in Mesquite who was out in six months.. B: Uh-huh. Yeah, it's just our criminal system is just so, I guess, overloaded, but the problem is not so much with the prison system, you know, I mean, because the cops are out there doing their job enforcing the laws, and the prison system are just, you know, they're trying to cope with them, but, you know, the thing about capital punishment I, you know,","a lot of people don't think it would be a deterrent, uh, to future crime.","A lot of people don't think it would be a deterrent, uh, to future crime.","matrix","MATRIX",-1.5,0.755928946018454,0.571428571428571
"70",90,"believe","Non-Factive","negation","A: No, it doesn't. B: And, of course, your court system when you get into the appeals,","I don't believe criminal is in a court by itself.","I don't believe criminal is in a court by itself.","compl","COMPLEMENT",-1.75,1.66904592079256,2.78571428571429
"71",91,"realize","Factive","negation","A: You know, once it rains a little bit, it's filled up and everything else just runs off, B: Uh-huh. A: you know. B: Yeah. San Antonio has that same problem when the rains come. it's a complete mess, everything floods, all the under passes. A: Yeah. B:","I didn't realize that Dallas had that same problem.","I didn't realize that Dallas had that same problem.","compl","COMPLEMENT",0.375,1.99553072067128,3.98214285714286
"72",92,"think","Non-Factive","negation","A: The last one I saw was DANCES WITH THE WOLVES. B: Yeah, we talked about that one too.","And he said he didn't think it should have gotten all those awards.","he didn't think it should have gotten all those awards","broad","BROAD",-0.538461538461538,1.12660142429822,1.26923076923077
"73",93,"know","Factive","negation","A: I mean I've never seen them do it without hose, I mean they always have hose on, but still, they're shorts, I don't care what you say, they're shorts. B: Well I think T I's dress code is pretty lax considering everything, anyway, you know, uh. A:","I didn't know that E D S has a very strict dress code.","I didn't know that E D S has a very strict dress code.","complAll","COMPLEMENT",2.3,0.823272602348565,0.677777777777778
"74",94,"realize","Factive","negation","B: And she got kind of fearful of being on her own. She never really ate very well. It was one thing. She hardly ever took care of herself A: Yeah. B: and she didn't eat. She ate very poor so I think she was, you know, bad, uh, nutrition on top of it. And, uh, she got to the point she didn't want to alone anymore. So, A:","So often I think though, elderly people don't realize that their diet is that bad.","elderly people don't realize that their diet is that bad","broad","BROAD",2,0.925820099772551,0.857142857142857
"75",95,"think","Non-Factive","negation","A: That's okay. B: Uh, yeah, this is, the, uh, mutual defense thing was, uh, we, it was complicated,","and I don't think everybody knows the whole situation.","and I don't think everybody knows the whole situation.","complAll","COMPLEMENT",-1.6,1.17378779077727,1.37777777777778
"76",96,"say","Non-Factive","negation","A: I mean, that's some-, and when we pay garbage men more than we pay teachers, B: That's wrong. A: Yeah, gosh, I mean, B:","I'm not saying that garbage men should be paid less.","I'm not saying that garbage men should be paid less.","compl","COMPLEMENT",-2.1,1.3703203194063,1.87777777777778
"77",97,"think","Non-Factive","negation","A: or you know, it doesn't seem that it's going to make much of a difference. B: Uh-huh. It, I mean, I don't know,","I don't think George Bush will make the American people happy with ninety-seven cents a week.","I don't think George Bush will make the American people happy with ninety-seven cents a week.","compl","COMPLEMENT",-2.88888888888889,0.333333333333333,0.111111111111111
